Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Software Engineer,$73K-$111K (Glassdoor est.),"Thank you for your interest in joining the Centauri team. Together, we can leverage the next generation of advanced technologies to deliver industry-leading capabilities across land, air, sea, space, and cyberspace. Our goal is to deliver innovative solutions using an agile, mission-first approach to address the most difficult technical challenges facing our customers. The only way that we can tackle these challenges is by recruiting the brightest minds in the industry to join our team.
Description
Apply Today!

Centauri is seeking a self-motivated and versatile software engineer interested in applying their ideas and innovative solutions to challenging space research and development problems focused in the area of space situational awareness (SSA). If you’re interested in an exciting, fun, challenging and fast-paced project involving system automation, distributed system architecture, and data processing using machine learning (ML) this may be the project for you!

Minimum Qualifications:
Bachelor’s Degree in a relevant field (e.g., Computer Science, Engineering, Mathematics, Statistics, Physics, etc.)
3+ years software development, object-Oriented design and programming, including design, coding, and testing
1+ years’ experience supporting Linux/Unix systems in an enterprise production environment
1+ years of Linux experience of RedHat, CentOS, Scientific Linux or similar Linux/Unix systems
1+ years of experience with system administrative scripting. (Bash, Python, etc.)
Experience working with databases
Experience with deploying and maintaining IT automation tools (Ansible, Puppet, Nexus, etc.) a plus
Ability to work independently as well as part of a team to achieve customer and company goals
Strong communication and interpersonal skills
Must be willing to work multiple tasks and balance shifting priorities
Experience with REST Web Services a plus
Experience with Machine Learning (ML) or Artificial Intelligence (AI) in Python a plus
Experience with Amazon Web Services/Commercial Cloud Services (AWS/C2S) a plus
Desired Skills:
Willingness to learn new technologies and share knowledge with the team
Proactively identify areas of improvement and ways to continually improve the systems
MongoDB or NoSQL database experience
CompTIA Security+ Certification
Ability to support CONUS/OCONUS travel (less than 10%)
Security Requirements: Must be eligible for work that requires a TS/SCI CI Poly clearance
Centauri is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or any other factor protected by law.

Are you a returning applicant?
Previous Applicants:


Email:


Password:
If you do not remember your password click here.
Back to Search Results

New Search",4.7,"Centauri
4.7","Chantilly, VA",-1,501 to 1000 Employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"Software Engineer
If you are a Software Engineer with experience, please read on!

Top Reasons to Work with Us
We are developing a radically new chip and we need you to help us build it! Our approach to DL in communications is setting the standard in the semiconductor industry, putting us years ahead of our competitors. We have an insane amount of funding and are looking to expand all of our engineering teams!

What You Will Be Doing
Develop using C++
Own customer software stack
Debug
Architect high performance code
Provide communications between framework and ML accelerator
Multi threading
What You Need for this Position
C++
High Performance Computing
Machine Learning
Deep Learning
debugging
Experience with large Data
Familiarity with compilers/compiler teams
What's In It for You
Very high base
Flexibly PTO and remote
Equity
Fully covered healthcare
A chance to have a helping hand in the next generation chip!
So, if you are a Software Engineer with experience, please apply today!
Applicants must be authorized to work in the U.S.

CyberCoders, Inc is proud to be an Equal Opportunity Employer
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",4.2,"CyberCoders
4.2","Los Altos, CA",-1,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"Job Title: Software Engineer

Location: Redmond, WA

Job Type: 12+Months Contract / Full Time

Job Description:
Build software to facilitate routine operations of a research group
Identify, document and exemplify best solutions of routine ML tasks, specific to production infrastructure, solidify them in software frameworks
Troubleshoot performance\resource\hardware related problems occurring in ML model training and inference
Skills:
It is necessary for a candidate to have a basic understanding of machine learning and, more specifically, computational techniques widely used in deep learning (SGD, online learning, federated learning), deep model training parallelization.
Understand TensorFlow and/or PyTorch, CUDA
Experience with streaming data such as video processing
Expert in C/C++, Python
Expert in distributed storage systems, networking, distributed computing
Excellent communication skills, ability to clearly explain and document complex ideas
Required Skills:
SOFTWARE ENGINEER, EXCELLENT COMMUNICATION SKILLS, NETWORKING, PYTHON, DEEP LEARNING
Additional Skills:
MACHINE LEARNING, ONLINE LEARNING, OPERATIONS, TENSOR, FLOW, TRAINING
Education:
Bachelor's degree in computer science, mathematics, or related field, 5 years of a relevant work experience.",5.0,"DBSI Services
5.0","Redmond, WA",-1,51 to 200 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"Are you a Data Engineering specialist in Analytics space? Do you have a rich history of crafting innovative solutions utilizing Hadoop, Spark, Presto or Data Lakes? Are you challenged by large scale projects utilizing billions of records to drive and innovate product experiences for end-users? Does this sound exciting to help modernize a petabyte scale big data and analytics platform? Then this is the role for you.

The Observability and Insights(OI) Engineering team, part of the WebXT Platform Services, have been modernizing our petabyte scale big data and analytics platform to help provide personalized news experience on MSFT canvases. Our charter includes collecting product signals from product teams across WebXT including MSN and other Content Services, providing observability/analytics /insights that drive product innovation and business reporting for the all up News org (1PP) and content provider (3PP) network. We also build audience segmentation and campaigns/personalization for better product alignment and user understanding. We seek to understand ad alignment and usage with our products as well as share optimizations with internal product and finance teams and develop AI/ML capabilities to support content and product personalization to name a few.

Responsibilities


We are looking for a highly motivated senior level developer who can help build scalable analytics/insights platform and set a high bar for performance and usability. We are interested in challenging the status quo and finding better ways of doing things and continually developing a growth mindset. You will be working on interesting and exciting use cases that combine mission critical user/usage/revenue data; processing at big data scale and need for generating real-time insights. You will be working in a hybrid technology space that combines the best from Azure and open source world. Other responsibilities include:
Plan, build roadmap for longer data strategies, data foundation, data assets to drive longer term needs for the team and partners
Design, build and own the optimal data processing architecture and systems for new data and analytics pipelines, dashboards and metrics leveraging Azure and open source technologies
Build core datasets as well as scalable and fault-tolerant pipelines
Build data anomaly detection, data quality checks, and optimize pipelines for ideal compute and storage systems while guaranteeing high quality and SLA datasets
Collaborate with cross functional partners including data scientists, product managers and software engineers to design and develop end-to-end data assets that help improve our products.
Qualifications
BA/BS degree in a technical field or equivalent practical experience.
Experience in one or more high level languages (C#, C++, Java, F#, Scala), data manipulation (SQL, Hadoop, Spark), NoSql DBs, and/ or BI Tools; Experience in Spark and OLAP tools preferred
Experience with schema design and dimensional data modeling
Has an obsession for tangible and demonstrable value that is well rewarded
Has strong user empathy with an obsession for clean and functional user experiences, constantly thinking of our end-users
Experience analyzing data to identify deliverables, gaps, and inconsistencies
Experience in building big data engineering initiatives
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.3,"Microsoft
4.3","Redmond, WA",-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"About Us

Eigen is a natural language processing/machine learning B2B software platform company focused on transforming the way companies operate by unlocking the value of their textual data. Having just completed our Series B, Eigen has raised $60m to date and is backed by Goldman Sachs, Temasek, Lakestar, and Dawn Capital.

Whilst Eigen's platform is general and sector agnostic, it is currently focused on the Financial Services, Legal, and Insurance sectors with clients such as Goldman Sachs, BlackRock, ING, Hiscox, and Allen & Overy.

Based in London and New York, Eigen has over 130 people and is rapidly scaling its operations, people, and customer base.

Why join Eigen?
We are building a product on the cutting edge of Natural Language Processing technology
We have an exceptional Senior Management team with some of the best minds across Sales, Engineering, Science and Product
We are a highly collaborative, diverse, dynamic and supportive team with a positive culture
We offer a great office environment, a clear development path, and many tangible benefits including:
Monthly Hackathons (some themed, some open)
£1,000 annual training budget
Flexibility to manage your work and personal commitments
Our Tech Stack (but open to others!)
Python + Django
ReactJS + Redux
Kubernetes
Machine Learning (ML) & Natural Language Processing (NLP)
What you'll be doing
Writing code. Because writing code is cool!
Researching, googling and StackOverflowing to find the latest software gadgets. We love being bleeding-edge and would be on Python 4 if we could
Whiteboarding with collaborative people to architect a shiny new feature
Studying a colleagues' pull request to make sure our code quality stays awesome
Pair programming your way through difficult problems because two brains are better than one
Building relationships with peers and teaching them things you know
Working with clients to deliver bespoke software solutions
Partnering closely with our frontend and solutions engineers, scientists, our ML stack and the product team to define and build new releases
What you'll need to be successful?

You'll be a motivated and capable engineer who is passionate about continuous learning and growth, as well as bringing the following key skills and experience:
Proven experience as a software engineer (coding, design and problem-solving skills)
Experience delivering software using an Agile (Scrum/Kanban) methodology
Knowledge of Machine Learning (ML), Natural Language Processing (NLP) would be beneficial
Client facing experience or potential
Eagerness to learn, grow and get stuck in!
You form working relationships with colleagues and partners based on kindness, understanding, and mutual respect.
Experience diagnosing and working on critical running systems
About our team

Our Research & Development team consists of a Science team (Research Scientists / Research Engineers), Product (Design, Product, SMEs), Product Engineering, and Solutions Engineering.

The Science team is largely responsible for researching and developing new ML/NLP solutions, which are then transformed into usable products by the Engineering teams.

Product Engineering is focused on building our core product offering, while Solutions Engineering works with clients to deliver bespoke projects and integrations.",4.8,"Eigen Technologies
4.8","New York, NY",-1,51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Software Engineer,$73K-$111K (Glassdoor est.),"Company Overview

Calling the adventurers ready to join a company that's pushing the limits of nanotechnology to keep the digital revolution rolling. At KLA, we're making technology advancements that are bigger—and tinier—than the world has ever seen.

Who are we? We research, develop, and manufacture the world's most advanced inspection and measurement equipment for the semiconductor and nanoelectronics industries. We enable the digital age by pushing the boundaries of technology, creating tools capable of finding defects smaller than a wavelength of visible light. We create smarter processes so that technology leaders can manufacture high-performance chips—the kind in that phone in your pocket, the tablet on your desk and nearly every electronic device you own—faster and better. We're passionate about creating solutions that drive progress and help people do what wouldn't be possible without us. The future is calling. Will you answer?

Group/Division

KLA has always had a close relationship with physics and data. Our optical and electron beam inspection and measurement tools use cutting edge physics models, both for hardware design and as part of their algorithms. AI, including several traditional machine learning techniques and deep learning are routinely used to process this data to meet application requirements.

The AI & Modeling Center of Excellence, centered in KLA’s R&D facility in Ann Arbor, MI, was setup with the mission of advancing KLA’s traditional strengths in physics and data and providing implementation solutions for multiple KLA Inspection and Metrology products targeted at the semiconductor manufacturing industry.

As a part of this group, you will be part of a world class team of physicists, HPC system designers, machine learning and application engineers who build cutting edge solutions for modeling complex imaging techniques and semiconductor processes. You will also work with a data scientists and AI infrastructure engineers whose mission is to build and scale machine learning based solutions for our semiconductor customers.

We are looking for engineers in a few different fields. If you are passionate about Physics Modeling, High Performance Computing - HPC (including GPU), ML, Data, or Cloud technologies – this is the place for you!

Responsibilities

· Study, experiment and build insights on Systems ( and it’s subsystems) interdependencies with Calibrations

· Data Preparation, Data Integration , Data management across sub-systems and key application stack (MainUI + Cougar + SMARTs) for having the required context and valid relationships (build on what’s already there)

· Auto-querying and flexible data preparation (right structured data) for fusion algorithms

· Fusion data-analysis / algorithms to analyze, visualize for various use cases and studies

· Statistical Analysis, Fault Detection, Anomaly Detection, - Early detection of HW failures

· Help speed up the 7-step process for faster root cause analysis, minimize human dependency and errors

Qualifications
Py. Sci Kit, Num Py, Pandas, SQL, Deep Learning, Data Analytic Skills
Understand the importance of data integrity, accessibility and flexible structures ( garbage in + DL --> garbage out ) along with DL/Tensor-Flow/Data-Science
Additional: Java, Scala, Spark, some understanding / interest in Big Data Tools & Technologies
Minimum Qualifications

Bachelor's Level Degree

Equal Employment Opportunity

KLA is an Equal Opportunity Employer. Applicants will be considered for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other characteristics protected by applicable law.",3.9,"KLA-Tencor
3.9","Ann Arbor, MI",-1,5001 to 10000 Employees,1976,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"Job ID: JR0144032

Job Category: Engineering

Primary Location: Hillsboro, OR US

Other Locations: US, California, Santa Clara; US, California, Folsom; US, Arizona, Phoenix;

Job Type:



Software Engineer

Job Description

Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending on the unique needs of the job. CCG hires more than seven different types of software engineering college graduates within areas such as AI (artificial intelligence), DL (deep learning), ML (machine learning), security, audio, media, data analytics, debug, graphics, power & performance, connectivity, display and firmware. Based on your project experience and what type of role you are interested in, your role will be decided after meeting with one of our hiring managers.

Qualifications
Bachelor’s Degree in Electrical Engineering, Computer Engineering, Computer Science, Math, Physics, or related field
Preferred Qualifications:
Post graduate degree in in Electrical Engineering, Computer Engineering, Computer Science, Math, Physics, or related field
Languages such as C/C++, Python, C#
Project experience may be required in the above areas (AI/DL/ML, security, audio, etc.)
Computer architecture, data analytics, drivers
Windows, Linux, Chrome operating system fundamentals
Inside this Business Group

The Client Computing Group is responsible for all aspects of the client computing business across Phone, Phablet, Tablet and PC platforms, leading Intel's efforts to transform client computing through technologies, new form factors, and driving Intel's corporate-wide user experience initiatives. This spans all client device brands including hardware, software and connectivity ingredients for phones, tablets, Ultrabook™, All-in-Ones, 2 in 1 computing devices, and home gateways.

Other Locations
US, California, Santa Clara; US, California, Folsom; US, Arizona, Phoenix;

Posting Statement
All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.
USJR0144032Hillsboro",4.0,"Intel Corporation
4.0","Hillsboro, OR",-1,10000+ Employees,1968,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"Job Number: R0089307

Software Engineer

The Challenge:

Are you looking for an opportunity to not just develop software, but to build a system that will be used by our National Defense for immersive learning and AR/VR missions? As a full-stack developer, you can solve a problem with a complete end-to-end solution in a fast-paced, agile environment. We’re looking for a developer with the advanced skills needed to build an AR/VR framework that takes advantage of artificial intelligence (AI) and machine learning (ML) from vision to production-ready system.

This role is more than just coding. We need a full-stack developer who will use their passion to learn new tools and techniques, identify and implement system improvements, and mentor teammates. Using Agile life cycle development, you’ll build a multi-location development environment that incorporates gaming technologies. You’ll analyze the needs and the environment to make sure the solution you’re developing considers the current architecture and operating environment, as well as future functionality and enhancements. Join us as we build systems to change DoD for the better.

Empower change with us.

You Have:

-5+ years of experience in a professional work environment

-Experience with network devices and services

-Experience with front-end web applications

-Experience with back-end server-side logic

-Knowledge of gaming technologies

-Knowledge of an Agile methodology

-Ability to obtain a security clearance

-HS diploma or GED

Nice If You Have:

-Experience with multiplayer development

-Experience with requirements review

-Experience with peer reviews, walkthroughs, inspections, and audits

-Knowledge of the SDLC

-Knowledge of AR/VR

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.

We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",3.9,"Booz Allen Hamilton Inc.
3.9","Austin, TX",-1,10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"Element Analytics creates industrial analytics software that empowers organizations to achieve new levels of operational performance. The Element Platform makes industrial time-series data easy to use and helps engineers, data scientists, and technologists rapidly turn data into actionable reliability, productivity, and sustainability insights.

You love building elegant systems and obsess about building software that's flexible and extensible where it needs to be. It drives you nuts to work with systems that are needlessly complex and have extensibility built in for extensibility sake. You're back-end focused, but you're comfortable with the front-end when a project takes you there. You enjoy data science or data visualization and have worked on some data-related problems in the past. If this sounds like you, we'd love to chat.

Our Stack: We run on Linux in Azure, our APIs are primarily implemented using Scala (on Spray), the front end is written with React.js, and we use Python in some machine learning applications as well as for systems work. Our data processing/machine learning is done in Spark, either with Scala, Python, or R. The service infrastructure is Docker containers running on DCOS across multiple tenants (both our customers' and our own).

Visa sponsorship is available.

What You'll Do:
Help build a robust platform that solves customer problems
Work on challenging applied ML and web products
Develop the next generation platform for the industrial world (help evolve an industry that's 2/3 of the global economy from the floppy disk era to the Dropbox era)
What You'll Need:


4+ years of designing and building applications that are cleanly coded, well designed and operationally stable
Experience building analytical applications is a big plus
BS or MS in Computer Science (or related field)",5.0,"Element Analytics
5.0","San Francisco, CA",-1,1 to 50 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"THE COMPANY
Our mission is to build the Covariant Brain, a universal AI to give robots the ability to see, reason and act on the world around them. Bringing AI from research in the lab to the infinite variability and constant change of our customer’s real-world operations requires new ideas, approaches and techniques.

Success in the real world requires a team that represents that world: diversity of backgrounds, points of view, and experiences. Our common denominator: ambitious expectations, love of learning, empathy for those around us, and a team-first mindset. Read more about our culture at https://www.keyvalues.com/covariant .
As a Software Engineer, you will:
Build mission-critical software, from robotic systems to cloud infrastructure, with attention to performance, reliability, security, and code quality.
Deliver previously-impossible robotics capabilities that solve real needs for our partners and customers.
Collaborate with, learn from, and support a diverse and cross-functional team, including mechanical, electrical and robotics engineers, AI/ML researchers, and business development.
We're looking for candidates with:
Previous software engineering experience, including internships or other relevant work.
A solid foundation in at least one programming language, e.g. Python or C/C++, and willingness to pick up new languages or technologies as needed.
Interest in working in a variety of technical areas to solve real problems and deliver business impact.
You might be a good fit if you:
Desire to work with a small collaborative team, with a high degree of autonomy and responsibility.
Are motivated to work on challenging real-world engineering problems without prior solutions.
Are excited to join coworkers that strive to be inclusive, thoughtful, and down-to-earth.
(Bonus) Are self-taught or switched to software engineering from a previous career in another field.
BENEFITS
Health, dental, and vision coverage for you and your family
Unlimited time off Flexible work hours
Lunch and dinner each day
401(k) plan and match

At covariant.ai we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Covariant.ai is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",4.7,"Covariant
4.7","Berkeley, CA",-1,1 to 50 Employees,2017,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Software Engineer,$73K-$111K (Glassdoor est.),"Ayata is developing its Prescriptive Analytics® software by integrating the latest Artificial Intelligence (AI) and related technologies. We are looking for people with multi-disciplinary skills, especially in software design and artificial intelligence, who can write solid clean code and who are excited about applying those skills to build industrial strength software. You’ll be part of a multi-disciplinary team working to design, develop and implement our unique software. Your contributions will directly impact the success of the company.

Job Responsibilities and Duties

Ayata is looking for experienced Software Engineer who will help develop Artificial Intelligence (AI) and Machine Learning (ML) software for business applications. We are building an interactive web application running on top of structure dataset and document files that needs to be retrieved.

Responsibilities:
Experience on building high-quality interactive web applications use JS frameworks like Nodejs and Vuejs.
Experience on HTML/CSS, JS, Webpack, and Node.
Experience and understanding of modern web infrastructure (Git, REST, like Flask framework, and Database APIs, build and deployment processes etc).
Communicate effectively with team members, management, and clients
Machine Learning experience a Plus!
100% remote

This is a 2 month Contract position

**Although this is a 2-month remote contract position, there is the possibility to be evaluated for other open positions at Ayata at the end of the contract.

Please no phone calls",2.4,"Ayata
2.4","Houston, TX",-1,1 to 50 Employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"The Role:
* Build new features, maintain tools and work on reliability improvement for the Assistant data and ML platform, including annotation service, data studio, model training service, model release and model repo as well model development console.
* Develop user-facing features while taking an active role in designing and improving the UX
* Collaborate with other engineers to improve the efficiency and usability of existing tools
Skills:
Must Have:
* 3+ years' of Full Stack web development experience
* Proficient with programming languages like Python, Javascript, and PHP
* Experience with modern Javascript libraries and frameworks like React and Redux
* Experience with git or other source control
* Strong motivation and product sense
Nice to Have:
* Experience with React
* Proficient with HTML, CSS,
* Experience and interest in ML and infra development is a plus
* Experience with web applications and large scale front end development a plus

Education:
Bachelor's degree in Computer Science, Information Systems or related field
Required Skills:
PYTHON, PHP, ENGINEER, INTEGRATION, METRICS
Additional Skills:
SOFTWARE ENGINEER, TOOLING, USABILITY, UX, CSS, FRONT END, HTML, INTEGRATOR, JAVASCRIPT, REDUX, UNIX
Location:
State/Province: Washington
City/Town: Redmond

About Fircroft:
Fircroft has been placing people in specialist technical industries for over 50 years, focusing on mid to senior level engineers for contract and permanent roles worldwide. By applying for this job you give consent for Fircroft to contact you, via email & telephone, to discuss your application along with future positions and Fircroft's services.
Fircroft is registered as a Data Controller with the Information Commissioner as required under the General Data Protection Regulation 2016/679. Fircroft will only process your personal data for the specific purposes of managing your application.",4.9,"Fircroft
4.9","Houston, TX",-1,501 to 1000 Employees,1970,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"ECS is seeking a Software Engineer to work in our Fairfax, VA office.

Job Description:
We are a rapidly growing company that considers our employees to be our most important asset. People truly are number one at ECS. We are situated in Merrifield, VA -- well positioned for most commutes in the Northern Virginia area. Our newly renovated office spaces are first class and provide an inspirational environment. We offer opportunities for telework and have some of the most interesting advanced IT business in the DC area. ECS has extraordinary customers who are thought and action leaders in the AI/ML field. We offer highly competitive compensation and benefits to the right person for this key position.

ECS is seeking a Software Engineer to lead and participate in a team of scientists and engineers, and to support the execution of a variety of projects including Artificial Intelligence/Machine Learning and Big Data/Cloud Solutions. This position is not a project manager; however, it requires strong leadership and technical skills in areas such as software system architecting and enterprise application integration. The candidate works closely with the Project Manager and technical team to swiftly develop solutions in an agile environment and deploy capabilities to the operational end user. The candidate cultivates an environment that promotes customer service, excellence, innovation, collaboration and teamwork.
The Software Engineer has prior experience in designing/architecting enterprise scale systems incorporating a variety of components (COTS, Open Source) and supporting integration. This individual performs in a multidisciplinary team environment with tight deadlines. The successful candidate is highly motivated, eager to implement new technologies, and thrives leading a team of scientists and engineers.
The Senior Software Engineer has prior experience in designing/architecting enterprise scale systems incorporating a variety of components (COTS, Open Source) and supporting integration. This individual performs in a multidisciplinary team environment with tight deadlines. The successful candidate is highly motivated, eager to implement new technologies, and thrives leading a team of scientists and engineers.
Required Skills:
US Citizen
BA/BS degree in Computer Science/Engineering or Computer/Electrical/Mechanical Engineering
Active Secret clearance
3-5 years of experience designing, deploying, and supporting enterprise level systems
Experience working with C++, Python, orchestration frameworks (Kubernetes), cloud technologies (AWS, Azure, GCP)
Experience utilizing containerization technologies (e.g. Docker)
Demonstrated cross-functional team collaboration skills in a rapidly changing, high intensity, mission-oriented work environment
Experience developing Architecture and Data Flow Diagrams using graphing programs (e.g. Visio)
A skilled, intelligent, articulate individual who possesses excellent technical writing and presentation skills
Familiarity with Linux operating systems
Ability to work in a fast-paced environment
Ability to travel (10%) to mostly CONUS locations
Ability to quickly grasp and implement new technologies
A self-motivated, self-starter that enthusiastically embraces pushing imaginative solutions to hard operational problems
Desired Skills:
Master's degree in Computer Science or a related technical field
Active Top-Secret clearance
Experience utilizing big data and cloud tools and technologies
Ability to deploy to OCONUS and hardship locations for short periods (2 weeks) a plus
Deep learning algorithms, NLP, ML tools and packages
Experience working with Department of Defense organizations or performers.
ECS is an equal opportunity employer and does not discriminate or allow discrimination on the basis of race, color, religion, gender, age, national origin, citizenship, disability, veteran status or any other classification protected by federal, state, or local law. ECS promotes affirmative action for minorities, women, disabled persons, and veterans.

ECS is a leading mid-sized provider of technology services to the United States Federal Government. We are focused on people, values and purpose. Every day, our 3000+ employees focus on providing their technical talent to support the Federal Agencies and Departments of the US Government to serve, protect and defend the American People.",3.8,"ECS Federal, LLC
3.8","Fairfax, VA",-1,1001 to 5000 Employees,2000,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1
Software Engineer,$73K-$111K (Glassdoor est.),"About REX

REX is a well-funded, game-changing real estate technology startup with offices in Austin, Los Angeles, and the Bay Area. With the goal of improving the lives of homebuyers and sellers, REX created a digital platform and real estate service that eliminates traditional agent commissions and shifts control away from agents over to those who matter most: consumers! REX saves homesellers thousands of dollars in fees by going around the MLS to target home-buyers directly with sophisticated marketing that has never been used in real estate. Since its launch in Southern California, REX has expanded to 17 states and over 250 employees. Throughout the years, REX has represented homes cumulatively valued at over $1 billion and in the process, saved customers over $20 million in fees they otherwise would have paid traditional brokers.

About the Position

As a Software Engineer, youll work on designing and building customer-facing, employee- facing, and specialty tools for REXs advanced, data-science driven housing marketplace. Youll work closely with other software engineers or data scientists and will support and be supported by specialists ranging from UI experts to data analysts.

Experience & Qualifications

Our ideal candidate brings the following:
Strong coding skills
Comfort using the language and tools appropriate to the task
Java proficiency
Javascript fluency
Able to pick up new toolchains stacks quickly
Bonus Points:
AWS experience
Experience with web-scale architectures
Python skills
Experience with Big Data tools like EMR/Hadoop/Spark/Hive
Database experience
Angular.js experience
Networking skill
Additional Information

As a pioneer in our industry, REX is setting new standards in the marketplace for quality, innovation, integrity, professionalism, drive, consumer happiness, and social good. Our culture, together with our business vision and goals, serve as an orientation for leadership and a guide for how we conduct ourselves in day-to-day business. They also form the foundation for hiring, encouraging and rewarding great people. In addition, REX has been committed to doing good things for real estate consumers and to providing homes for those in the greatest need, wherever they may be. For every 50 homes we sell, we provide a home for a family in need. We started by funding the construction of a home for a family in Cambodia at the end of 2015. In addition to funding homes, the REX team regularly provides hands-on support to local nonprofits that provide shelter to families.

Compensation: Competitive salary with an equity stake in this fast-growing tech company.

Contact: careers@rexchange.com

Powered by JazzHR",4.0,"REX
4.0","Austin, TX",-1,51 to 200 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1
